2018-12-20 02:54:26 | EMERGENCY | 21145 | 5c1b046086e1f | 1545274466.920 | /usr/share/nginx/html/frame/XW/core/HttpServer.php
2018-12-20 02:54:26 | EMERGENCY | 21145 | 5c1b046086e1f | 1545274466.921 | 40
2018-12-20 02:54:26 | EMERGENCY | 21145 | 5c1b046086e1f | 1545274466.921 | 0
2018-12-20 02:54:26 | EMERGENCY | 21145 | 5c1b046086e1f | 1545274466.921 | Call to undefined method core\xw\Pool\Context::se()
2018-12-20 02:54:26 | EMERGENCY | 21145 | 5c1b046086e1f | 1545274466.921 | #0 {main}
2018-12-20 02:55:02 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274502.987 | /usr/share/nginx/html/frame/XW/core/HttpServer.php
2018-12-20 02:55:02 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274502.987 | 39
2018-12-20 02:55:02 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274502.987 | 0
2018-12-20 02:55:02 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274502.987 | Call to undefined method core\xw\Pool\Context::se()
2018-12-20 02:55:02 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274502.987 | #0 {main}
2018-12-20 02:55:29 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274529.9 | /usr/share/nginx/html/frame/XW/core/HttpServer.php
2018-12-20 02:55:29 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274529.9 | 39
2018-12-20 02:55:29 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274529.9 | 0
2018-12-20 02:55:29 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274529.9 | Call to undefined method core\xw\Pool\Context::se()
2018-12-20 02:55:29 | EMERGENCY | 21205 | 5c1b04857a3d9 | 1545274529.9 | #0 {main}
2018-12-20 02:57:09 | EMERGENCY | 21382 | 5c1b04fc5f185 | 1545274629.966 | /usr/share/nginx/html/frame/XW/core/HttpServer.php
2018-12-20 02:57:09 | EMERGENCY | 21382 | 5c1b04fc5f185 | 1545274629.966 | 40
2018-12-20 02:57:09 | EMERGENCY | 21382 | 5c1b04fc5f185 | 1545274629.966 | 0
2018-12-20 02:57:09 | EMERGENCY | 21382 | 5c1b04fc5f185 | 1545274629.966 | Call to undefined method core\xw\Pool\Context::se()
2018-12-20 02:57:09 | EMERGENCY | 21382 | 5c1b04fc5f185 | 1545274629.966 | #0 {main}
2018-12-20 02:57:10 | EMERGENCY | 21382 | 5c1b04fc5f185 | 1545274630.142 | /usr/share/nginx/html/frame/XW/core/HttpServer.php
2018-12-20 02:57:10 | EMERGENCY | 21382 | 5c1b04fc5f185 | 1545274630.142 | 40
2018-12-20 02:57:10 | EMERGENCY | 21382 | 5c1b04fc5f185 | 1545274630.142 | 0
